id_compra,id_cliente,id_producto,cantidad,precio_unitario,fecha_compra
1,123,2,2,10.5,2022-03-05
2,456,1,1,25.0,2022-03-05
3,789,3,3,5.0,2022-03-06
4,101112,2,5,10.5,2022-03-06
5,131415,5,2,20.0,2022-03-07
6,161718,4,1,30.0,2022-03-07
7,192021,6,4,8.0,2022-03-08
8,222324,3,1,5.0,2022-03-08
9,252627,2,3,10.5,2022-03-09
10,282930,1,2,25.0,2022-03-09
11,313233,5,1,20.0,2022-03-10
12,343536,6,2,8.0,2022-03-10
13,373839,4,3,30.0,2022-03-11
14,404142,3,2,5.0,2022-03-11
15,434445,2,1,10.5,2022-03-12
16,464748,1,4,25.0,2022-03-12
17,495051,5,3,20.0,2022-03-13
18,525354,6,1,8.0,2022-03-13
19,555657,4,2,30.0,2022-03-14
20,585960,3,5,5.0,2022-03-14
